,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
0,Nanortalik,92,GL,1554227791,93,60.14,-45.24,274.069,11.56
1,Qaanaaq,0,GL,1554227745,74,77.48,-69.36,255.119,3.76
2,Hermanus,20,ZA,1554227157,79,-34.42,19.24,291.92,4.02
3,Tasiilaq,90,GL,1554223800,85,65.61,-37.64,268.15,9.3
4,Butaritari,76,KI,1554227692,100,3.07,172.79,298.269,2.71
5,Voh,44,NC,1554227793,100,-20.95,164.69,298.369,4.36
6,Albany,75,US,1554227375,23,42.65,-73.75,282.11,9.3
7,Mataura,0,NZ,1554227405,91,-46.19,168.86,279.26,1.56
8,Jamestown,0,AU,1554227680,76,-33.21,138.6,281.369,2.26
9,Rikitea,92,PF,1554227551,100,-23.12,-134.97,297.419,7.06
10,Hobart,0,AU,1554227356,58,-42.88,147.33,287.59,3.6
11,Ahipara,56,NZ,1554227724,100,-35.17,173.16,287.519,4.51
12,Matara,75,PE,1554224400,54,-13.74,-72.9,286.15,1.06
13,Barra do Garcas,12,BR,1554227795,54,-15.89,-52.26,306.469,2.26
14,Marawi,68,PH,1554227173,83,8.0,124.29,299.26,1.79
15,Barrow,0,AR,1554227684,48,-38.31,-60.23,297.119,8.76
16,Ushuaia,20,AR,1554224400,62,-54.81,-68.31,284.15,10.3
17,Coquimbo,75,CL,1554224400,72,-29.95,-71.34,292.15,2.6
18,Grindavik,0,IS,1554227515,100,63.84,-22.43,274.09,7.2
19,Arraial do Cabo,20,BR,1554224400,45,-22.97,-42.02,301.67,2.6
20,Tuatapere,20,NZ,1554227405,91,-46.13,167.69,279.26,2.01
21,Krasnyy Kut,48,RU,1554227797,61,47.1,40.67,281.969,5.26
22,Bluff,0,AU,1554227668,69,-23.58,149.07,292.769,4.66
23,Lorengau,76,PG,1554227724,96,-2.02,147.27,301.719,4.96
24,Severo-Kurilsk,88,RU,1554227712,99,50.68,156.12,272.469,8.36
25,Coihaique,40,CL,1554224400,55,-45.58,-72.07,288.1,3.1
26,Laguna,75,MX,1554223200,14,27.52,-110.01,299.15,4.1
27,Norman Wells,75,CA,1554224400,60,65.28,-126.83,260.15,8.2
28,Kodinsk,92,RU,1554227798,90,58.6,99.18,274.119,3.46
29,Saint-Philippe,1,CA,1554227643,31,45.36,-73.48,279.24,6.7
30,Itigi,48,TZ,1554227799,89,-5.7,34.5,292.319,1.66
31,Hasaki,20,JP,1554227677,55,35.73,140.83,273.64,2.6
32,Sao Paulo de Olivenca,0,BR,1554227799,51,-3.38,-68.87,308.069,0.91
33,Male,12,UA,1554227799,60,50.74,33.7,276.569,5.11
34,Port-Cartier,20,CA,1554227603,90,50.03,-66.88,273.89,7.2
35,Trelew,0,AR,1554227648,25,-43.25,-65.31,298.219,7.21
36,Geraldton,90,CA,1554225060,60,49.72,-86.95,277.15,9.3
37,Cape Town,0,ZA,1554227591,49,-33.93,18.42,292.58,5.1
38,Paracuru,75,BR,1554226688,70,-3.41,-39.03,301.56,5.7
39,Port Alfred,48,ZA,1554227642,81,-33.59,26.89,291.48,1.79
40,Cabedelo,40,BR,1554224400,70,-6.97,-34.84,304.15,5.7
41,Chuy,32,UY,1554227557,82,-33.69,-53.46,300.319,3.31
42,Adrar,0,DZ,1554224400,15,27.87,-0.29,304.15,2.1
43,Punta Arenas,40,CL,1554226949,50,-53.16,-70.91,286.04,13.4
44,Hofn,0,IS,1554227717,100,64.25,-15.21,273.569,8.41
45,Abu Dhabi,68,AE,1554224400,69,24.47,54.37,299.2,3.6
46,Grants,1,US,1554226500,28,35.15,-107.85,286.15,3.6
47,Blackwater,40,GB,1554227786,70,51.33,-0.78,279.66,4.6
48,Dikson,32,RU,1554227666,98,73.51,80.55,268.219,11.71
49,Zhuanghe,0,CN,1554227803,100,39.7,122.97,275.119,1.21
50,Lebu,0,ET,1554227691,70,8.96,38.73,285.719,1.16
51,Tautira,75,PF,1554227546,83,-17.73,-149.15,299.99,6.7
52,Verkh-Usugli,0,RU,1554227804,37,52.7,115.17,268.569,3.01
53,Ponta do Sol,20,BR,1554227715,92,-20.63,-46.0,298.669,1.96
54,Bathsheba,20,BB,1554224400,55,13.22,-59.52,303.15,11.8
55,Whitehorse,20,CA,1554227535,68,60.72,-135.06,273.97,1.0
56,Avarua,8,CK,1554224400,83,-21.21,-159.78,299.15,6.7
57,Santa Isabel do Rio Negro,76,BR,1554227806,91,-0.41,-65.02,300.319,0.91
58,Vaini,0,IN,1554227703,82,15.34,74.49,295.119,1.61
59,Sept-Iles,20,CA,1554227305,56,50.2,-66.38,273.89,7.2
60,Salalah,20,OM,1554223800,74,17.01,54.1,300.15,3.1
61,Kodiak,20,US,1554227225,70,39.95,-94.76,280.18,4.1
62,Saint Anthony,90,US,1554227415,60,43.97,-111.68,279.77,2.6
63,Coachella,1,US,1554227666,10,33.68,-116.18,295.24,3.1
64,Mahebourg,20,MU,1554227640,78,-20.41,57.7,298.75,3.31
65,Oranjemund,0,ZA,1554227808,90,-28.55,16.43,288.419,2.86
66,Mackenzie,1,CA,1554224400,53,55.34,-123.09,273.15,1.5
67,Castro,75,CL,1554224400,67,-42.48,-73.76,288.15,3.6
68,Homer,90,US,1554227436,93,59.64,-151.54,275.95,2.11
69,Paamiut,92,GL,1554227808,87,61.99,-49.67,274.669,24.71
70,Yar-Sale,8,RU,1554227809,76,66.83,70.83,266.169,5.86
71,Fukue,20,JP,1554227670,56,35.03,136.69,277.27,8.2
72,Torbay,20,CA,1554227600,37,47.66,-52.73,276.22,13.4
73,Kavieng,48,PG,1554227810,99,-2.57,150.8,302.119,4.76
74,Bage,0,NG,1554227810,16,10.95,11.38,306.569,3.66
75,Bredasdorp,36,ZA,1554227157,79,-34.53,20.04,290.37,4.02
76,Yellowknife,20,CA,1554227247,71,62.45,-114.38,258.72,6.7
77,Kaitangata,8,NZ,1554227394,76,-46.28,169.85,279.82,1.34
78,Mehamn,75,NO,1554223800,85,71.03,27.85,273.15,3.6
79,Faanui,0,PF,1554227811,100,-16.48,-151.75,302.169,5.01
80,Nikolskoye,0,RU,1554227440,51,59.7,30.79,275.19,1.0
81,Sale,75,GB,1554227771,75,53.42,-2.32,278.59,1.5
82,Saint-Marc,68,HT,1554227812,54,19.1,-72.7,303.369,0.21
83,Cidreira,20,BR,1554227743,76,-30.17,-50.22,301.819,1.21
84,Yulara,0,AU,1554224400,23,-25.24,130.99,290.15,3.1
85,Cherskiy,92,RU,1554227667,81,68.75,161.3,271.469,3.31
86,Meulaboh,48,ID,1554227658,100,4.14,96.13,300.069,2.11
87,Saint George,0,GR,1554225600,58,39.45,22.34,286.75,2.66
88,Ribeira Grande,20,PT,1554226200,55,38.52,-28.7,289.15,6.2
89,Cockburn Town,12,TC,1554227814,100,21.46,-71.14,298.819,4.26
90,Arlit,0,NE,1554227814,23,18.74,7.39,305.069,0.71
91,Gouyave,75,GD,1554224400,78,12.16,-61.73,300.15,8.7
92,Saint-Leu,32,RE,1554227755,69,-21.15,55.28,296.93,3.1
93,Grimshaw,90,CA,1554227544,51,56.19,-117.61,273.54,3.1
94,Ancud,75,CL,1554224400,67,-41.87,-73.83,288.15,3.6
95,Kapaa,75,US,1554227303,78,22.08,-159.32,293.38,4.6
96,Turukhansk,92,RU,1554227816,91,65.8,87.96,271.769,2.21
97,Vila Velha,75,BR,1554226688,70,-3.71,-38.6,301.5,5.7
98,Shingu,12,JP,1554227816,100,33.72,135.99,281.869,7.36
99,Russell,0,AR,1554224400,39,-33.01,-68.8,302.15,3.1
100,Rawson,0,AR,1554227595,25,-43.3,-65.11,298.219,7.21
101,Hilo,40,US,1554227483,72,19.71,-155.08,293.36,2.6
102,Colares,20,PT,1554227701,77,38.8,-9.45,289.87,8.2
103,Tabou,12,CI,1554227818,95,4.42,-7.36,303.369,4.06
104,Sao Joao da Barra,40,BR,1554224400,45,-21.64,-41.05,303.15,4.76
105,Iracoubo,68,GF,1554227819,58,5.48,-53.21,303.019,3.21
106,Malanje,12,AO,1554227819,80,-9.54,16.35,296.819,0.66
107,Olinda,40,EC,1554227743,66,-2.03,-79.75,304.04,2.6
108,Dingle,44,PH,1554227740,88,11.0,122.67,297.369,4.71
109,Cayenne,75,GF,1554226200,78,4.94,-52.33,301.15,4.6
110,Nicoya,20,CR,1554224400,41,10.15,-85.45,307.15,9.8
111,Lompoc,40,US,1554227550,72,34.64,-120.46,289.94,2.31
112,Camacha,40,PT,1554226200,77,33.08,-16.33,287.58,6.2
113,Carnarvon,0,ZA,1554227705,24,-30.97,22.13,287.319,0.96
114,Ilulissat,75,GL,1554223800,69,69.22,-51.1,276.15,10.8
115,Lazaro Cardenas,90,MX,1554227714,28,28.39,-105.62,296.26,2.6
116,Krasnoye,75,RU,1554227431,81,44.87,39.46,282.62,2.0
117,Lagoa,20,PT,1554227548,77,37.14,-8.45,290.55,5.1
118,Upernavik,44,GL,1554227567,100,72.79,-56.15,263.169,8.51
119,Chokurdakh,64,RU,1554227693,65,70.62,147.9,257.069,1.31
120,Kahului,75,US,1554227627,69,20.89,-156.47,294.58,5.7
121,Los Llanos de Aridane,75,ES,1554227465,72,28.66,-17.92,288.77,6.7
122,Okhotsk,32,RU,1554227824,89,59.36,143.24,267.369,2.31
123,Monrovia,40,LR,1554228000,66,6.33,-10.8,304.15,6.7
124,Havre-Saint-Pierre,1,CA,1554224400,58,50.23,-63.6,271.15,12.3
125,Rome,20,IT,1554227524,76,41.89,12.48,286.86,4.1
126,Loa Janan,44,ID,1554227825,97,-0.58,117.09,297.069,1.11
